"Naziv","Adresa","Gradska četvrt","Email","Telefon","Web stranica","OIB","Godina osnutka","Broj članova","Vodstvo"
"Dobrovoljno vatrogasno društvo Trnje","Budmanijeva 9, 10000 Zagreb","Trnje","trnje@vzgz.hr","016184524","http://www.dvdtrnje.hr","58878158696",1934,167,"predsjednik: Matej Baturić (0916101063); zapovjednik: Mladen Popović (0989542488); tajnik: Dario Radović (0919341997)"
"Dobrovoljno vatrogasno društvo Trešnjevka","Selska 116, 10000 Zagreb","Trešnjevka - sjever","tresnjevka@vzgz.hr","013634052","https://www.dvdtresnjevka.hr","46202332525",1930,185,"predsjednik: Branko Markoč (0916930688); zapovjednik: Boris Korkut (098369358); tajnik: Sabina Kucelj (0912811129)"
"Dobrovoljno vatrogasno društvo Sesvete","Varaždinska 42, 10360 Sesvete","Sesvete","sesvete@vzgz.hr","012000125","https://www.dvd-sesvete.hr","19852900977",1930,104,"predsjednik: Matija Ruga (0916930264); zapovjednik: Drago Ruga (0916930652); tajnik: Stjepan Čukac (0977966466)"
"Dobrovoljno vatrogasno društvo Horvati","Horvaćanski trg 3, 10436 Rakov Potok","Brezovica","horvati@vzgz.hr","016539191","https://dvd-horvati.hr","88967107021",1928,127,"predsjednik: Miroslav Prevendar (0915238292); zapovjednik: Dario Karasman (0922322283); tajnik: Filip Prevendar (0913460910)"
"Dobrovoljno vatrogasno društvo Gračani","Gračanski Mihaljevac 3, 10000 Zagreb","Podsljeme","gracani@vzgz.hr","014674029","http://dvdgracani.hr","77538301819",1945,122,"predsjednik: Dubravko Bukovac (0981933583); zapovjednik: Jurica Biruški (0981671615); tajnik: Fran Varga (0996858151)"
"Dobrovoljno vatrogasno društvo Botinec","Zlatarova zlata 79, 10020 Zagreb","Novi Zagreb - zapad","botinec@vzgz.hr","016524681","http://www.dvdbotinec.hr","49493163484",1972,110,"predsjednik: Krešimir Tkalec (0915001727); zapovjednik: Ivan Dorotić (0955283367); tajnik: Mirjana Pranjić (0917912959)"
"Dobrovoljno vatrogasno društvo Šestine","Šestinski vijenac 2, 10000 Zagreb","Podsljeme","sestine@vzgz.hr","014674211","http://www.dvd-sestine.hr","52191629788",1979,79,"predsjednik: Krešimir Kompesak (0913333133); zapovjednik: Matija Ivančević (0911222208); tajnik: Josip Tomičić (0989866236)"
"Dobrovoljno vatrogasno društvo Hrašće","Trg Jurja Muliha 8, 10020 Zagreb","Novi Zagreb - zapad","hrasce@vzgz.hr","016261033","www.dvd-hrasce.hr","06597839139",1943,450,"predsjednik: Krešimir Kolarić (098273421); zapovjednik: Marko Križanić (0916930172); tajnik: Ivan Cvetić (0997101217)"
"Dobrovoljno vatrogasno društvo Maksimir","Maksimirska 51A/II, 10000 Zagreb","Maksimir","maksimir@vzgz.hr","012312016","http://dvd-maksimir.hr","52361209406",1931,94,"predsjednik: Franjo Kelbas (0916930565); zapovjednik: Domagoj Mikša (0912350177); tajnik: Bojan Nonković (0989440944)"
"Dobrovoljno vatrogasno društvo Prečko","Jarnovićeva ulica 19, 10000 Zagreb","Trešnjevka - jug","precko@vzgz.hr","013865010","www.dvdprecko.hr","46319347195",1978,50,"predsjednik: Goran Ostrički (0976633584); zapovjednik: Renato Ivačević (0917922130); tajnik: Krunoslav Šipek (0917922130)"
